month,year,mpaa,budget,runtime,screens,opening_week,domestic_box_office,user_vote,ratings,critic_vote,meta_score,country,sequel,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
3.0,2016.0,3,15000000.0,103.0,3427.0,24727437.0,72082999.0,355000.0,7.2,358.0,88.32,194,0.0,-0.30229075641685843,-0.168384255436822,2.4879259136886493,-0.24920838056690434,-0.7029390128773868,-0.11857541506899318,0.9569952488508295
3.0,2008.0,3,105000000.0,109.0,3454.0,35867488.0,94784201.0,136000.0,5.1,29.0,34.0,232,0.0,0.5300730350119724,1.1536427015270825,-0.35282414778853416,2.665319117192375,-0.5095227290977161,0.16269538770790126,0.04404104582322002
11.0,2000.0,0,85000000.0,100.0,2704.0,19883351.0,66957026.0,40000.0,4.8,114.0,31.05,194,0.0,1.5866137809009875,-0.24314012429608875,-0.4199366705144344,-0.5196986124786508,-0.16345882924813604,0.051941945758450785,-0.5759272947122946
3.0,2009.0,3,20000000.0,108.0,2331.0,5329240.0,12234694.0,31000.0,5.6,85.0,32.07,194,0.0,-0.5464578821771081,1.0945122061470283,0.16964053721009784,-0.20247844804767853,1.8300416949215372,-0.3476484796018018,-0.4196716486510872
1.0,2018.0,4,35000000.0,130.0,3018.0,15815025.0,45819713.0,92000.0,6.5,216.0,50.8,194,0.0,-0.3257059129537422,0.5866332394847046,-0.3340593594195162,3.767877339160538,-0.2586324893568767,-0.2454406338015005,-0.9855975248989425
10.0,2013.0,4,20000000.0,134.0,1474.0,923715.0,56671993.0,742000.0,8.1,436.0,95.13,194,0.0,-0.2547076009892911,-0.4282050778607095,0.1455405751126225,2.471548092601176,-0.26449797287008203,2.116588814706422,-0.9877355394441142
11.0,2010.0,4,18000000.0,94.0,916.0,264851.0,18335230.0,402000.0,7.5,277.0,91.49,194,0.0,-0.43809529561316857,-0.3367797030896585,-0.05420993071250495,0.44654808144660235,-0.315269874953024,1.8583679469491863,0.3111926323418236
4.0,2004.0,3,37000000.0,98.0,3453.0,21054283.0,57231747.0,217000.0,6.3,213.0,63.69,194,0.0,-0.24954264951311378,-0.627321910393131,-0.7125066198364178,-0.6208394413460886,-0.6451372220929252,-0.6962148195914287,-0.7453554835039241
1.0,2016.0,4,50000000.0,144.0,2917.0,16194738.0,52853219.0,161000.0,7.3,260.0,50.58,194,0.0,-0.35255677512664596,0.7086497545773217,0.33235364828290287,3.822704229095388,0.09710540785630162,-0.5436938845898573,-0.7230281911024395
6.0,2007.0,3,25000000.0,104.0,2733.0,20617667.0,71985628.0,295000.0,6.8,204.0,77.88,194,0.0,0.02721894422695505,-0.3298132697054145,1.9499691588548975,-0.6659995125519852,-1.0132779032979837,-0.19241732555529986,-0.8089355761741457
3.0,2001.0,4,60000000.0,120.0,2337.0,10523154.0,24403552.0,52000.0,6.1,155.0,32.41,123,0.0,-0.5611256445413371,0.7242284789162332,0.09108280740683532,0.33602477154353966,1.8789372395166795,-0.19095306276068494,1.041925462547309
3.0,2006.0,3,45000000.0,105.0,2706.0,11855260.0,36895141.0,135000.0,6.6,195.0,56.39,194,0.0,-0.5794041759044839,0.887294181574458,0.12723312224826674,0.48668400284012553,0.11231784896401376,-0.16768342065266517,1.1134267048079973
4.0,2009.0,3,40000000.0,102.0,3255.0,23722310.0,64167069.0,217000.0,6.4,175.0,55.61,194,0.0,-0.35352435832299545,-0.8172177598000894,-0.8870958490243824,-0.6111737395079315,-0.5635676614205553,0.6149307842028945,0.7486685124086077
6.0,2003.0,3,76000000.0,107.0,3418.0,50472480.0,127154901.0,298000.0,5.9,197.0,37.18,194,0.0,-0.5464578821771081,1.0945122061470283,0.16964053721009784,-0.20247844804767853,1.8300416949215372,-0.3476484796018018,-0.4196716486510872
8.0,2013.0,4,61000000.0,109.0,3028.0,27059130.0,75612460.0,226000.0,6.7,232.0,62.33,194,0.0,-0.543393595671381,0.9500042358965523,-0.2964592381078673,-0.3362116465657762,0.20532683338301852,-0.5720353119347383,-0.6294825298946967
11.0,2009.0,3,200000000.0,158.0,3444.0,65237614.0,166112167.0,398000.0,5.8,280.0,40.21,194,0.0,0.07336202664564324,2.0250480299356988,-0.5239154468758039,-0.07472309109440517,-0.7034847271635238,-0.03682115245690456,-0.0768635135591611
12.0,2016.0,4,7000000.0,119.0,650.0,111200.0,5664764.0,49000.0,7.3,270.0,87.26,194,0.0,-0.4343618733214192,-0.7571345029691234,-0.5792670559311572,-0.09091244095028114,-0.2618699882910927,0.014589694604370786,0.33519356732496464
3.0,2008.0,3,35000000.0,123.0,2952.0,24105943.0,81159365.0,267000.0,6.8,200.0,37.74,194,0.0,-0.46427702200005017,-0.49061001762603024,0.5532457270892269,0.09764764750266691,1.718582770460604,-0.059276723851049526,0.8075737823650767
3.0,2013.0,4,13000000.0,93.0,2771.0,8754168.0,25682380.0,77000.0,5.8,21.0,34.0,194,0.0,-0.41969411095719017,-0.38685077573832827,-0.5007093261278945,-0.6294156605414992,-0.31076553288623504,-0.142105722236746,-1.1264035438734308
11.0,2019.0,4,33000000.0,103.0,2665.0,9261268.0,28539757.0,75000.0,6.6,172.0,53.44,194,0.0,0.14163025610577643,1.0808962196557437,0.6177325033159887,0.4713420975450862,1.766621293831114,-0.46847631655128685,1.497440099020954
11.0,2003.0,4,20000000.0,124.0,411.0,274454.0,16290476.0,246000.0,7.6,221.0,78.96,194,0.0,-0.46427702200005017,-0.49061001762603024,0.5532457270892269,0.09764764750266691,1.718582770460604,-0.059276723851049526,0.8075737823650767
3.0,2012.0,4,42000000.0,109.0,3148.0,36302612.0,138447667.0,599000.0,7.2,270.0,82.57,194,0.0,-0.49826420213533046,0.6649220181457102,-0.999022560651718,-0.5416977677972122,1.6162083267225062,-0.2970517032544012,-0.963553105951888
6.0,2014.0,4,50000000.0,112.0,3426.0,57071445.0,191719337.0,407000.0,7.0,268.0,81.77,194,0.0,-0.49826420213533046,0.6649220181457102,-0.999022560651718,-0.5416977677972122,1.6162083267225062,-0.2970517032544012,-0.963553105951888
12.0,2002.0,4,5000000.0,135.0,495.0,108865.0,13084595.0,185000.0,7.6,215.0,77.14,194,0.0,-0.45570469119029317,-0.4495608300604224,-0.07701696577176044,0.1934799888644023,-0.40377451730524005,0.26224616904532694,0.6165056908292624
